project.project_id	cases.case_id	cases.submitter_id	samples.sample_id	samples.submitter_id	portions.portion_id	portions.submitter_id	analytes.a260_a280_ratio	analytes.amount	analytes.analyte_id	analytes.analyte_quantity	analytes.analyte_type	analytes.analyte_type_id	analytes.analyte_volume	analytes.concentration	analytes.experimental_protocol_type	analytes.normal_tumor_genotype_snp_match	analytes.ribosomal_rna_28s_16s_ratio	analytes.rna_integrity_number	analytes.spectrophotometer_method	analytes.state	analytes.submitter_id	analytes.well_number
TCGA-THCA	989e9202-c08e-4bbf-85b3-1e278a475cb7	TCGA-EL-A3T8	a29ceeca-6198-4d69-afd2-252f76f2a21d	TCGA-EL-A3T8-11A	f4c6bdfc-b70f-42cb-90a2-ef4d201ff8e8	TCGA-EL-A3T8-11A-11	'--	'--	ed2aaa00-f720-4af3-91f5-23c58e38e8fe	'--	Repli-G (Qiagen) DNA	'--	'--	'--	Repli-G	Yes	'--	'--	'--	released	TCGA-EL-A3T8-11A-11W	'--
TCGA-THCA	cac8246a-a806-4945-898a-105cd88b2752	TCGA-DJ-A3VL	a7e41e35-7638-4e48-8af7-63b701f873f5	TCGA-DJ-A3VL-10A	2c32cf54-f813-40c4-a673-fd67ef5f5053	TCGA-DJ-A3VL-10A-01	'--	'--	326cc904-f040-43e2-b289-a75744e319f1	'--	DNA	'--	'--	0.16	Pre-extracted DNA received by TSS	Yes	'--	'--	PicoGreen	released	TCGA-DJ-A3VL-10A-01D	'--
TCGA-THCA	cac8246a-a806-4945-898a-105cd88b2752	TCGA-DJ-A3VL	a7e41e35-7638-4e48-8af7-63b701f873f5	TCGA-DJ-A3VL-10A	2c32cf54-f813-40c4-a673-fd67ef5f5053	TCGA-DJ-A3VL-10A-01	'--	'--	ffa9cdfa-ea13-48c2-b1b2-1caf72d26482	'--	Repli-G (Qiagen) DNA	'--	'--	'--	Repli-G	Yes	'--	'--	'--	released	TCGA-DJ-A3VL-10A-01W	'--
TCGA-THCA	cac8246a-a806-4945-898a-105cd88b2752	TCGA-DJ-A3VL	dfe93ac9-2320-42ac-a308-384a04c0ec6d	TCGA-DJ-A3VL-01A	65f946cc-ed6b-4d56-b1af-615a785dccc3	TCGA-DJ-A3VL-01A-11	'--	'--	4b94857e-7c77-4d28-a479-85ea5fee8100	'--	Repli-G (Qiagen) DNA	'--	'--	'--	Repli-G	Yes	'--	'--	'--	released	TCGA-DJ-A3VL-01A-11W	'--
TCGA-THCA	cac8246a-a806-4945-898a-105cd88b2752	TCGA-DJ-A3VL	dfe93ac9-2320-42ac-a308-384a04c0ec6d	TCGA-DJ-A3VL-01A	65f946cc-ed6b-4d56-b1af-615a785dccc3	TCGA-DJ-A3VL-01A-11	1.82	'--	6dcba266-88cf-4522-baf7-68155f0b1b5c	'--	RNA	'--	'--	0.16	mirVana (Allprep DNA) RNA	Yes	1.2	7.5	UV Spec	released	TCGA-DJ-A3VL-01A-11R	'--
TCGA-THCA	cac8246a-a806-4945-898a-105cd88b2752	TCGA-DJ-A3VL	dfe93ac9-2320-42ac-a308-384a04c0ec6d	TCGA-DJ-A3VL-01A	65f946cc-ed6b-4d56-b1af-615a785dccc3	TCGA-DJ-A3VL-01A-11	'--	'--	f0061cd9-8355-4bad-ba61-14c54e7c74e8	'--	DNA	'--	'--	0.14	aDNA Preparation Type	Yes	'--	'--	PicoGreen	released	TCGA-DJ-A3VL-01A-11D	'--
TCGA-THCA	6befdc6a-27fc-4cde-979b-ffe05cd8603f	TCGA-ET-A40Q	1cff1634-ad89-4fef-bbbc-13e4cd7ccdd2	TCGA-ET-A40Q-10A	6cec58d6-9bc9-4c65-a854-16aeb034bdcf	TCGA-ET-A40Q-10A-01	'--	'--	690a5f57-416c-45a6-8101-6a22c89cb976	'--	DNA	'--	'--	0.16	Pre-extracted DNA received by TSS	Yes	'--	'--	PicoGreen	released	TCGA-ET-A40Q-10A-01D	'--
TCGA-THCA	6befdc6a-27fc-4cde-979b-ffe05cd8603f	TCGA-ET-A40Q	1cff1634-ad89-4fef-bbbc-13e4cd7ccdd2	TCGA-ET-A40Q-10A	6cec58d6-9bc9-4c65-a854-16aeb034bdcf	TCGA-ET-A40Q-10A-01	'--	'--	9e681920-079d-426e-9e9f-9fc62bb3e3e8	'--	Repli-G (Qiagen) DNA	'--	'--	'--	Repli-G	Yes	'--	'--	'--	released	TCGA-ET-A40Q-10A-01W	'--
TCGA-THCA	6befdc6a-27fc-4cde-979b-ffe05cd8603f	TCGA-ET-A40Q	6c92a78f-ec4c-4ae6-849a-7abdd976bbad	TCGA-ET-A40Q-01A	6453cd7e-f25a-47d6-9b1b-639958a54d91	TCGA-ET-A40Q-01A-11	'--	'--	4cce1176-364e-457d-a609-171c4df4f917	'--	Repli-G (Qiagen) DNA	'--	'--	'--	Repli-G	Yes	'--	'--	'--	released	TCGA-ET-A40Q-01A-11W	'--
TCGA-THCA	6befdc6a-27fc-4cde-979b-ffe05cd8603f	TCGA-ET-A40Q	6c92a78f-ec4c-4ae6-849a-7abdd976bbad	TCGA-ET-A40Q-01A	6453cd7e-f25a-47d6-9b1b-639958a54d91	TCGA-ET-A40Q-01A-11	'--	'--	bd7510f6-ca73-44d5-9d4d-bca6a88adab2	'--	DNA	'--	'--	0.15	aDNA Preparation Type	Yes	'--	'--	PicoGreen	released	TCGA-ET-A40Q-01A-11D	'--
TCGA-THCA	6befdc6a-27fc-4cde-979b-ffe05cd8603f	TCGA-ET-A40Q	6c92a78f-ec4c-4ae6-849a-7abdd976bbad	TCGA-ET-A40Q-01A	6453cd7e-f25a-47d6-9b1b-639958a54d91	TCGA-ET-A40Q-01A-11	1.83	'--	ed10f25c-b8c1-4733-9fa9-e7758beeb29e	'--	RNA	'--	'--	0.15	mirVana (Allprep DNA) RNA	Yes	1.63	8.5	UV Spec	released	TCGA-ET-A40Q-01A-11R	'--
TCGA-THCA	ca625067-1c6d-45c7-b752-af40c8327ea5	TCGA-EM-A4G1	ea35fdda-14f8-4e42-acc7-722d124c6957	TCGA-EM-A4G1-10A	eacad3a0-c7a2-40c3-8683-7421a94abffe	TCGA-EM-A4G1-10A-01	'--	'--	77e08dca-16a0-4851-a25d-cdb6a3d96fc1	'--	Repli-G (Qiagen) DNA	'--	'--	'--	Repli-G	Yes	'--	'--	'--	released	TCGA-EM-A4G1-10A-01W	'--
TCGA-THCA	ca625067-1c6d-45c7-b752-af40c8327ea5	TCGA-EM-A4G1	ea35fdda-14f8-4e42-acc7-722d124c6957	TCGA-EM-A4G1-10A	eacad3a0-c7a2-40c3-8683-7421a94abffe	TCGA-EM-A4G1-10A-01	'--	'--	79a457e5-8a94-482c-985b-f2f32b84a8e1	'--	DNA	'--	'--	0.16	aDNA Preparation Type	Yes	'--	'--	PicoGreen	released	TCGA-EM-A4G1-10A-01D	'--
TCGA-THCA	ca625067-1c6d-45c7-b752-af40c8327ea5	TCGA-EM-A4G1	f0b9fabc-051b-4fc3-88e0-7bf326b8da3e	TCGA-EM-A4G1-01A	bf3acdb1-995e-4c84-80b0-2803cb3e1312	TCGA-EM-A4G1-01A-11	1.88	'--	40129ac3-8963-4e6a-970e-9e5839a22409	'--	RNA	'--	'--	0.17	mirVana (Allprep DNA) RNA	Yes	1.65	8.7	UV Spec	released	TCGA-EM-A4G1-01A-11R	'--
TCGA-THCA	ca625067-1c6d-45c7-b752-af40c8327ea5	TCGA-EM-A4G1	f0b9fabc-051b-4fc3-88e0-7bf326b8da3e	TCGA-EM-A4G1-01A	bf3acdb1-995e-4c84-80b0-2803cb3e1312	TCGA-EM-A4G1-01A-11	'--	'--	4264f47f-ded8-4ca3-b756-a089fdd3957f	'--	Repli-G (Qiagen) DNA	'--	'--	'--	Repli-G	Yes	'--	'--	'--	released	TCGA-EM-A4G1-01A-11W	'--
TCGA-THCA	ca625067-1c6d-45c7-b752-af40c8327ea5	TCGA-EM-A4G1	f0b9fabc-051b-4fc3-88e0-7bf326b8da3e	TCGA-EM-A4G1-01A	bf3acdb1-995e-4c84-80b0-2803cb3e1312	TCGA-EM-A4G1-01A-11	'--	'--	e6d1e2ca-6013-4212-be6b-8340ca4e09cf	'--	DNA	'--	'--	0.15	aDNA Preparation Type	Yes	'--	'--	PicoGreen	released	TCGA-EM-A4G1-01A-11D	'--
TCGA-THCA	e92bdb0d-969a-4d98-ada8-5dfec68119b5	TCGA-EM-A1CS	3929aafb-3850-4f1a-a883-ca904d6cbc69	TCGA-EM-A1CS-10A	4b54bdae-f48a-47ef-a787-7447b5c4faf6	TCGA-EM-A1CS-10A-01	'--	'--	2f22b3b2-c51d-4164-a648-2efbeb5ed16c	'--	Repli-G (Qiagen) DNA	'--	'--	'--	Repli-G	Yes	'--	'--	'--	released	TCGA-EM-A1CS-10A-01W	'--
TCGA-THCA	e92bdb0d-969a-4d98-ada8-5dfec68119b5	TCGA-EM-A1CS	3929aafb-3850-4f1a-a883-ca904d6cbc69	TCGA-EM-A1CS-10A	4b54bdae-f48a-47ef-a787-7447b5c4faf6	TCGA-EM-A1CS-10A-01	2.03	'--	8f60d243-c8ba-4116-994b-2aad2a27f8af	'--	DNA	'--	'--	0.15	aDNA Preparation Type	Yes	'--	'--	UV Spec	released	TCGA-EM-A1CS-10A-01D	'--
TCGA-THCA	e92bdb0d-969a-4d98-ada8-5dfec68119b5	TCGA-EM-A1CS	7c7a3dc2-b44d-448c-8bb8-c0cb0631b7a6	TCGA-EM-A1CS-11A	8a3ee66a-a095-4b31-a3bd-b3b501281248	TCGA-EM-A1CS-11A-21	1.88	'--	32b0ab87-24eb-473c-8df3-a44d74b34394	'--	DNA	'--	'--	0.15	aDNA Preparation Type	Yes	'--	'--	UV Spec	released	TCGA-EM-A1CS-11A-21D	'--
TCGA-THCA	e92bdb0d-969a-4d98-ada8-5dfec68119b5	TCGA-EM-A1CS	7c7a3dc2-b44d-448c-8bb8-c0cb0631b7a6	TCGA-EM-A1CS-11A	8a3ee66a-a095-4b31-a3bd-b3b501281248	TCGA-EM-A1CS-11A-21	'--	'--	3bffb849-b134-415e-92c1-6170a8f7d89e	'--	Repli-G (Qiagen) DNA	'--	'--	'--	Repli-G	Yes	'--	'--	'--	released	TCGA-EM-A1CS-11A-21W	'--
TCGA-THCA	e92bdb0d-969a-4d98-ada8-5dfec68119b5	TCGA-EM-A1CS	7c7a3dc2-b44d-448c-8bb8-c0cb0631b7a6	TCGA-EM-A1CS-11A	8a3ee66a-a095-4b31-a3bd-b3b501281248	TCGA-EM-A1CS-11A-21	1.79	'--	920ebc67-1c50-412c-9f17-ed0a356cb627	'--	RNA	'--	'--	0.17	mirVana (Allprep DNA) RNA	Yes	1.3	7.4	UV Spec	released	TCGA-EM-A1CS-11A-21R	'--
TCGA-THCA	e92bdb0d-969a-4d98-ada8-5dfec68119b5	TCGA-EM-A1CS	c1daf740-06e2-4509-86be-5bfcc52b508a	TCGA-EM-A1CS-01A	f0cb767e-7572-4731-8bb8-654532251281	TCGA-EM-A1CS-01A-11	1.88	'--	27cf04db-37f7-429b-a053-3c30c979589c	'--	DNA	'--	'--	0.18	aDNA Preparation Type	Yes	'--	'--	UV Spec	released	TCGA-EM-A1CS-01A-11D	'--
TCGA-THCA	e92bdb0d-969a-4d98-ada8-5dfec68119b5	TCGA-EM-A1CS	c1daf740-06e2-4509-86be-5bfcc52b508a	TCGA-EM-A1CS-01A	f0cb767e-7572-4731-8bb8-654532251281	TCGA-EM-A1CS-01A-11	'--	'--	6fcab1da-0166-4f73-8801-7ccc3cb04dc3	'--	Repli-G (Qiagen) DNA	'--	'--	'--	Repli-G	Yes	'--	'--	'--	released	TCGA-EM-A1CS-01A-11W	'--
TCGA-THCA	e92bdb0d-969a-4d98-ada8-5dfec68119b5	TCGA-EM-A1CS	c1daf740-06e2-4509-86be-5bfcc52b508a	TCGA-EM-A1CS-01A	f0cb767e-7572-4731-8bb8-654532251281	TCGA-EM-A1CS-01A-11	1.79	'--	c38df93e-8725-4a20-98a0-868b14456f1e	'--	RNA	'--	'--	0.15	mirVana (Allprep DNA) RNA	Yes	1.4	8.1	UV Spec	released	TCGA-EM-A1CS-01A-11R	'--
TCGA-THCA	87858089-1bad-4e5d-80ed-04f846da9ca4	TCGA-ET-A39N	1d7ae01c-5e94-49e5-b304-2fa7da81ebda	TCGA-ET-A39N-10A	99ef7585-704e-4978-b7a0-58eaaec94d32	TCGA-ET-A39N-10A-01	'--	'--	2edfe6f8-49db-4c66-9421-e0014c6fab47	'--	DNA	'--	'--	0.18	Pre-extracted DNA received by TSS	Yes	'--	'--	PicoGreen	released	TCGA-ET-A39N-10A-01D	'--
TCGA-THCA	87858089-1bad-4e5d-80ed-04f846da9ca4	TCGA-ET-A39N	1d7ae01c-5e94-49e5-b304-2fa7da81ebda	TCGA-ET-A39N-10A	99ef7585-704e-4978-b7a0-58eaaec94d32	TCGA-ET-A39N-10A-01	'--	'--	a887700b-541a-48bd-a0b5-af5741063eba	'--	Repli-G (Qiagen) DNA	'--	'--	'--	Repli-G	Yes	'--	'--	'--	released	TCGA-ET-A39N-10A-01W	'--
TCGA-THCA	87858089-1bad-4e5d-80ed-04f846da9ca4	TCGA-ET-A39N	b3cf7e11-9204-4201-bf32-1afe0233a85e	TCGA-ET-A39N-01A	edd1aca5-d756-42d2-9658-e6750f104f91	TCGA-ET-A39N-01A-11	'--	'--	489aee72-c7c1-4680-bd59-29ef7376a1e1	'--	DNA	'--	'--	0.15	aDNA Preparation Type	Yes	'--	'--	PicoGreen	released	TCGA-ET-A39N-01A-11D	'--
TCGA-THCA	87858089-1bad-4e5d-80ed-04f846da9ca4	TCGA-ET-A39N	b3cf7e11-9204-4201-bf32-1afe0233a85e	TCGA-ET-A39N-01A	edd1aca5-d756-42d2-9658-e6750f104f91	TCGA-ET-A39N-01A-11	'--	'--	ac995eba-2fd6-4690-a493-84fb4c1db584	'--	Repli-G (Qiagen) DNA	'--	'--	'--	Repli-G	Yes	'--	'--	'--	released	TCGA-ET-A39N-01A-11W	'--
TCGA-THCA	87858089-1bad-4e5d-80ed-04f846da9ca4	TCGA-ET-A39N	b3cf7e11-9204-4201-bf32-1afe0233a85e	TCGA-ET-A39N-01A	edd1aca5-d756-42d2-9658-e6750f104f91	TCGA-ET-A39N-01A-11	1.8	'--	d8caa320-29dc-4234-8552-c2fd66146850	'--	RNA	'--	'--	0.17	mirVana (Allprep DNA) RNA	Yes	1.1	7.9	UV Spec	released	TCGA-ET-A39N-01A-11R	'--
TCGA-THCA	9d3f6163-f586-4974-babc-67b5163b706b	TCGA-DJ-A3UT	68764cce-82ca-4a2c-833a-2edd79abf5ff	TCGA-DJ-A3UT-01A	b37ee9f2-cfa2-42f8-a347-2b3fac07bcca	TCGA-DJ-A3UT-01A-11	'--	'--	154288cf-81eb-4d2e-94d5-a4cf15d38cea	'--	DNA	'--	'--	0.16	aDNA Preparation Type	Yes	'--	'--	PicoGreen	released	TCGA-DJ-A3UT-01A-11D	'--
TCGA-THCA	9d3f6163-f586-4974-babc-67b5163b706b	TCGA-DJ-A3UT	68764cce-82ca-4a2c-833a-2edd79abf5ff	TCGA-DJ-A3UT-01A	b37ee9f2-cfa2-42f8-a347-2b3fac07bcca	TCGA-DJ-A3UT-01A-11	1.8	'--	bed42488-369b-4b3f-aba8-b40838cbc87e	'--	RNA	'--	'--	0.16	mirVana (Allprep DNA) RNA	Yes	1.6	7.9	UV Spec	released	TCGA-DJ-A3UT-01A-11R	'--
TCGA-THCA	9d3f6163-f586-4974-babc-67b5163b706b	TCGA-DJ-A3UT	68764cce-82ca-4a2c-833a-2edd79abf5ff	TCGA-DJ-A3UT-01A	b37ee9f2-cfa2-42f8-a347-2b3fac07bcca	TCGA-DJ-A3UT-01A-11	'--	'--	c5e65b80-855b-46de-b7e7-cfd39bfe0209	'--	Repli-G (Qiagen) DNA	'--	'--	'--	Repli-G	Yes	'--	'--	'--	released	TCGA-DJ-A3UT-01A-11W	'--
TCGA-THCA	9d3f6163-f586-4974-babc-67b5163b706b	TCGA-DJ-A3UT	a22d93f6-9c95-41d1-b23a-9c55facf9f53	TCGA-DJ-A3UT-10A	52a6c6db-7e16-4593-b78f-893766153ab1	TCGA-DJ-A3UT-10A-01	'--	'--	4660c8aa-a164-4476-a72b-8bd7353d210d	'--	Repli-G (Qiagen) DNA	'--	'--	'--	Repli-G	Yes	'--	'--	'--	released	TCGA-DJ-A3UT-10A-01W	'--
TCGA-THCA	9d3f6163-f586-4974-babc-67b5163b706b	TCGA-DJ-A3UT	a22d93f6-9c95-41d1-b23a-9c55facf9f53	TCGA-DJ-A3UT-10A	52a6c6db-7e16-4593-b78f-893766153ab1	TCGA-DJ-A3UT-10A-01	'--	'--	4f71b735-881f-4cca-a2d7-d362bd0308c1	'--	DNA	'--	'--	0.16	Pre-extracted DNA received by TSS	Yes	'--	'--	PicoGreen	released	TCGA-DJ-A3UT-10A-01D	'--
TCGA-THCA	55e03ffc-f006-4ec8-8e5d-a738ff091f8a	TCGA-EM-A2OV	1183bcb5-50a7-4cc0-a94c-732636b7ee7d	TCGA-EM-A2OV-01A	ec91db6c-566f-46f3-bc7e-bf2498f4c26d	TCGA-EM-A2OV-01A-11	'--	'--	068d59af-7bc2-4a3a-98d7-e0e296b96f11	'--	DNA	'--	'--	0.16	aDNA Preparation Type	Yes	'--	'--	PicoGreen	released	TCGA-EM-A2OV-01A-11D	'--
TCGA-THCA	55e03ffc-f006-4ec8-8e5d-a738ff091f8a	TCGA-EM-A2OV	1183bcb5-50a7-4cc0-a94c-732636b7ee7d	TCGA-EM-A2OV-01A	ec91db6c-566f-46f3-bc7e-bf2498f4c26d	TCGA-EM-A2OV-01A-11	1.86	'--	59c7b334-2a58-4fbe-bd45-12be0184c42d	'--	RNA	'--	'--	0.16	mirVana (Allprep DNA) RNA	Yes	1.3	8.1	UV Spec	released	TCGA-EM-A2OV-01A-11R	'--
TCGA-THCA	55e03ffc-f006-4ec8-8e5d-a738ff091f8a	TCGA-EM-A2OV	1183bcb5-50a7-4cc0-a94c-732636b7ee7d	TCGA-EM-A2OV-01A	ec91db6c-566f-46f3-bc7e-bf2498f4c26d	TCGA-EM-A2OV-01A-11	'--	'--	a1defde1-183d-418c-923e-fce0a4739202	'--	Repli-G (Qiagen) DNA	'--	'--	'--	Repli-G	Yes	'--	'--	'--	released	TCGA-EM-A2OV-01A-11W	'--
TCGA-THCA	55e03ffc-f006-4ec8-8e5d-a738ff091f8a	TCGA-EM-A2OV	d814c22e-d964-4a92-ae43-194970962342	TCGA-EM-A2OV-10A	22b5a76c-40d9-4d10-9da6-f251c68a3e4d	TCGA-EM-A2OV-10A-01	'--	'--	8820192c-1da5-4ec5-8e4d-63a999ec8357	'--	Repli-G (Qiagen) DNA	'--	'--	'--	Repli-G	Yes	'--	'--	'--	released	TCGA-EM-A2OV-10A-01W	'--
TCGA-THCA	55e03ffc-f006-4ec8-8e5d-a738ff091f8a	TCGA-EM-A2OV	d814c22e-d964-4a92-ae43-194970962342	TCGA-EM-A2OV-10A	22b5a76c-40d9-4d10-9da6-f251c68a3e4d	TCGA-EM-A2OV-10A-01	'--	'--	dc4b4d38-cddd-418c-88dd-fe773530bc52	'--	DNA	'--	'--	0.16	aDNA Preparation Type	Yes	'--	'--	PicoGreen	released	TCGA-EM-A2OV-10A-01D	'--
TCGA-THCA	2f9ed09d-2626-4c23-ba47-1850d36f812a	TCGA-ET-A25K	343311b1-d586-4f92-9984-32af1afb1f62	TCGA-ET-A25K-01A	2ce33b5a-451b-4a13-81f6-219d782c9397	TCGA-ET-A25K-01A-11	'--	'--	5585511d-fe0a-4fee-b28b-ef99c89e46f3	'--	Repli-G (Qiagen) DNA	'--	'--	'--	Repli-G	Yes	'--	'--	'--	released	TCGA-ET-A25K-01A-11W	'--
TCGA-THCA	2f9ed09d-2626-4c23-ba47-1850d36f812a	TCGA-ET-A25K	343311b1-d586-4f92-9984-32af1afb1f62	TCGA-ET-A25K-01A	2ce33b5a-451b-4a13-81f6-219d782c9397	TCGA-ET-A25K-01A-11	2.0	'--	a9e67668-ea19-4908-85c8-d856c04b8066	'--	DNA	'--	'--	0.17	aDNA Preparation Type	Yes	'--	'--	UV Spec	released	TCGA-ET-A25K-01A-11D	'--
TCGA-THCA	2f9ed09d-2626-4c23-ba47-1850d36f812a	TCGA-ET-A25K	343311b1-d586-4f92-9984-32af1afb1f62	TCGA-ET-A25K-01A	2ce33b5a-451b-4a13-81f6-219d782c9397	TCGA-ET-A25K-01A-11	1.85	'--	b5604e18-3697-4696-88ff-31fdb5e4d320	'--	RNA	'--	'--	0.17	mirVana (Allprep DNA) RNA	Yes	1.6	8.0	UV Spec	released	TCGA-ET-A25K-01A-11R	'--
TCGA-THCA	2f9ed09d-2626-4c23-ba47-1850d36f812a	TCGA-ET-A25K	38379990-627c-4fac-a13a-6afd9d47a448	TCGA-ET-A25K-10A	6491266a-2a9b-41e2-b562-510b1afb272e	TCGA-ET-A25K-10A-01	1.84	'--	85b2079c-92e3-4442-9d02-28986c858386	'--	DNA	'--	'--	0.16	Pre-extracted DNA received by TSS	Yes	'--	'--	UV Spec	released	TCGA-ET-A25K-10A-01D	'--
TCGA-THCA	2f9ed09d-2626-4c23-ba47-1850d36f812a	TCGA-ET-A25K	38379990-627c-4fac-a13a-6afd9d47a448	TCGA-ET-A25K-10A	6491266a-2a9b-41e2-b562-510b1afb272e	TCGA-ET-A25K-10A-01	'--	'--	86c338cf-5b4c-4419-bc9e-62df1b499e8f	'--	Repli-G (Qiagen) DNA	'--	'--	'--	Repli-G	Yes	'--	'--	'--	released	TCGA-ET-A25K-10A-01W	'--
TCGA-THCA	9f31deb9-b9f4-439b-aea4-f87c71406c79	TCGA-DJ-A2PS	750ee423-6f57-4c61-8e06-9188d0dc4f28	TCGA-DJ-A2PS-01A	ad87ee8f-1c3c-40bc-830b-046d6f5b0a5b	TCGA-DJ-A2PS-01A-11	1.79	'--	7d083bdc-cc8a-427d-a6a1-94ba70d7f86c	'--	RNA	'--	'--	0.17	mirVana (Allprep DNA) RNA	Yes	1.3	7.4	UV Spec	released	TCGA-DJ-A2PS-01A-11R	'--
